역명,경도,위도
서울,126.972533,37.55315
시청,126.975407,37.56359
종각,126.983116,37.570203
종로3가,126.992095,37.570429
종로5가,127.0019,37.570971
동대문,127.00789,37.565145
동묘앞,127.016459,37.573265
신설동,127.02471,37.576117
제기동,127.034902,37.578116
청량리,127.045063,37.580148
을지로입구,126.982569,37.565998
을지로3가,126.991773,37.566292
을지로4가,126.998122,37.566611
동대문역사문화공원,127.009083,37.565609
신당,127.019488,37.565681
상왕십리,127.028872,37.564504
왕십리,127.035505,37.561159
한양대,127.043504,37.55658
뚝섬,127.047413,37.54718
성수,127.055983,37.544628
건대입구,127.069231,37.540408
구의,127.085024,37.536857
강변,127.094684,37.535161
잠실나루,127.103836,37.520688
잠실,127.100129,37.513305
잠실새내,127.103738,37.520731
종합운동장,127.073641,37.511008
삼성,127.063203,37.508827
선릉,127.048174,37.504257
역삼,127.03643,37.500658
강남,127.027539,37.497958
교대,127.014631,37.493957
서초,127.007945,37.49191
방배,126.997627,37.481469
사당,126.981631,37.476536
낙성대,126.963783,37.47693
서울대입구,126.952745,37.481233
봉천,126.941896,37.482416
신림,126.929573,37.484216
신대방,126.913279,37.487534
구로디지털단지,126.902626,37.485005
대림,126.895293,37.492426
신도림,126.891222,37.508815
문래,126.894766,37.517993
영등포구청,126.896627,37.525766
당산,126.902011,37.533877
합정,126.914557,37.550025
홍대입구,126.923643,37.556748
신촌,126.93689,37.555153
이대,126.945897,37.556734
아현,126.956079,37.557407
충정로,126.964455,37.559742
시청,126.975271,37.563534
신설동,127.025158,37.574653
용두,127.03811,37.574012
신답,127.056348,37.56147
용답,126.977863,37.566412
도림천,126.882586,37.514759
양천구청,126.865193,37.512194
신정네거리,126.852849,37.520218
까치산,126.846706,37.53181
지축,126.912551,37.648281
구파발,126.918827,37.636612
연신내,126.920859,37.618855
불광,126.929843,37.610554
녹번,126.935758,37.600882
홍제,126.944092,37.588851
무악재,126.950131,37.582658
독립문,126.957902,37.574534
경복궁,126.973576,37.575844
안국,126.98547,37.576562
종로3가,126.991237,37.571537
을지로3가,126.992616,37.566299
충무로,126.995473,37.561302
동대입구,127.005273,37.55816
약수,127.010628,37.554674
금호,127.015785,37.548269
옥수,127.017303,37.541653
압구정,127.028502,37.526169
신사,127.020247,37.516438
잠원,127.011613,37.512989
고속터미널,127.004916,37.504953
교대,127.013796,37.49306
남부터미널,127.016289,37.48494
양재,127.03513,37.48466
매봉,127.046907,37.487114
도곡,127.055694,37.491129
대치,127.063449,37.494601
학여울,127.070541,37.496757
대청,127.079526,37.493607
일원,127.08416,37.48389
수서,127.101324,37.487507
가락시장,127.118101,37.492368
경찰병원,127.124198,37.495754
오금,127.128344,37.502288
당고개,127.078404,37.66956
상계,127.073199,37.660576
노원,127.063183,37.656274
창동,127.046746,37.652993
쌍문,127.034381,37.648274
수유,127.024731,37.637127
미아,127.026151,37.626435
미아사거리,127.030083,37.613276
길음,127.025353,37.604087
성신여대입구,127.017338,37.592782
한성대입구,127.006751,37.58838
혜화,127.001759,37.582116
동대문,127.008835,37.57099
동대문역사문화공원,127.008458,37.565141
충무로,126.995473,37.561302
명동,126.988271,37.561055
회현,126.979565,37.559698
서울,126.972836,37.553172
숙대입구,126.971952,37.545124
삼각지,126.973354,37.535057
신용산,126.96858,37.52919
이촌,126.97335,37.522525
동작,126.980171,37.503567
총신대입구,126.982309,37.487521
사당,126.981746,37.476563
남태령,126.989081,37.464339
방화,126.812822,37.577669
개화산,126.806838,37.572458
김포공항,126.801273,37.56217
송정,126.812052,37.561411
마곡,126.82693,37.562182
발산,126.82693,37.562182
우장산,126.83633,37.548864
화곡,126.840436,37.541585
까치산,126.846706,37.53181
신정,126.856176,37.525001
목동,126.864296,37.526088
오목교,126.875049,37.524557
양평,126.886177,37.525614
영등포구청,126.895022,37.524209
영등포시장,126.905143,37.52276
신길,126.914886,37.51763
여의도,126.924318,37.521578
여의나루,126.932807,37.527145
마포,126.946043,37.539718
공덕,126.951058,37.544005
애오개,126.956733,37.553592
충정로,126.962783,37.560061
서대문,126.966639,37.565812
광화문,126.976568,37.570545
종로3가,126.990447,37.572546
을지로4가,126.998127,37.56658
동대문역사문화공원,127.00533,37.564682
청구,127.01379,37.560237
신금호,127.020403,37.554504
행당,127.029482,37.557297
왕십리,127.037264,37.56197
마장,127.042921,37.566066
답십리,127.05266,37.566833
장한평,127.064601,37.561438
군자,127.079559,37.557102
아차산,127.089609,37.552005
광나루,127.103478,37.545301
천호,127.123539,37.538566
강동,127.13249,37.53581
길동,127.140085,37.538022
굽은다리,127.142844,37.545442
명일,127.144002,37.551317
고덕,127.154214,37.555002
상일동,127.166381,37.556714
둔촌동,127.136219,37.527787
올림픽공원,127.130957,37.516217
방이,127.126054,37.508752
오금,127.127701,37.502228
개롱,127.134817,37.498097
거여,127.143983,37.493208
마천,127.152784,37.494972
강일,127.176018,37.557521
미사,127.192954,37.56329
하남풍산,127.203897,37.552201
하남시청,127.206901,37.541723
하남검단산,127.223427,37.539729
응암,126.915583,37.59859
역촌,126.922764,37.60605
불광,126.929504,37.610919
독바위,126.933035,37.618413
연신내,126.920519,37.618596
구산,126.917246,37.611223
새절,126.913613,37.591148
증산,126.909785,37.583989
디지털미디어시티,126.898643,37.577005
월드컵경기장,126.899077,37.569439
마포구청,126.903326,37.563535
망원,126.910129,37.556031
합정,126.913546,37.549033
상수,126.92292,37.547704
광흥창,126.931971,37.547464
대흥,126.942214,37.547732
공덕,126.951664,37.543592
효창공원앞,126.961348,37.539279
삼각지,126.973996,37.535563
녹사평,126.98665,37.53469
이태원,126.994369,37.534485
한강진,127.001729,37.53956
버티고개,127.006948,37.547933
약수,127.010237,37.554087
청구,127.013776,37.560221
신당,127.016158,37.566174
동묘앞,127.015666,37.572275
창신,127.015246,37.579772
보문,127.019377,37.585293
안암,127.02903,37.586261
고려대,127.03626,37.59034
월곡,127.041492,37.60192
상월곡,127.048509,37.606392
돌곶이,127.056419,37.610522
석계,127.065922,37.614937
태릉입구,127.074741,37.617319
화랑대,127.084106,37.619875
봉화산,127.091375,37.617293
신내,127.104326,37.612571
장암,127.053126,37.70015
도봉산,127.046548,37.689131
수락산,127.055314,37.677804
마들,127.057701,37.664985
노원,127.060555,37.654478
중계,127.064084,37.645052
하계,127.067999,37.636363
공릉,127.072969,37.625642
태릉입구,127.074741,37.617319
먹골,127.077719,37.610638
중화,127.079254,37.602604
상봉,127.085708,37.595673
면목,127.087503,37.588671
사가정,127.088502,37.580912
용마산,127.086802,37.573752
중곡,127.084291,37.565877
군자,127.079484,37.557151
어린이대공원,127.07465,37.547962
건대입구,127.071103,37.540882
뚝섬유원지,127.066714,37.531558
청담,127.051851,37.519097
강남구청,127.04122,37.517185
학동,127.031738,37.514262
논현,127.021385,37.511108
반포,127.011717,37.508171
고속터미널,127.005055,37.503387
내방,126.993541,37.48764
총신대입구,126.981766,37.485258
남성,126.971108,37.484688
숭실대입구,126.953649,37.496258
상도,126.947949,37.50279
장승배기,126.939025,37.504845
신대방삼거리,126.928218,37.499717
보라매,126.920112,37.499916
신풍,126.909806,37.500107
대림,126.896997,37.492984
남구로,126.887372,37.486181
가산디지털단지,126.882704,37.480376
철산,126.868217,37.47616
광명사거리,126.854854,37.47927
천왕,126.838684,37.486699
온수,126.823294,37.492059
암사,127.127521,37.550127
천호,127.123179,37.53792
강동구청,127.120461,37.530348
몽촌토성,127.11274,37.517692
잠실,127.104267,37.514649
석촌,127.106995,37.505396
송파,127.11212,37.49978
가락시장,127.118279,37.493004
문정,127.122473,37.485931
장지,127.126229,37.478609
복정,127.126746,37.471016
남위례,127.139047,37.462839
산성,127.149927,37.456886
남한산성입구,127.159845,37.451568
단대오거리,127.156735,37.445057
신흥,127.14759,37.440952
수진,127.140936,37.437575
모란,127.129921,37.433888
개화,126.798153,37.578608
김포공항,126.801058,37.562434
공항시장,126.810678,37.563726
신방화,126.816601,37.567532
마곡나루,126.829497,37.567336
양천향교,126.841333,37.568381
가양,126.854456,37.561391
증미,126.861939,37.557402
등촌,126.865689,37.550632
염창,126.874916,37.546936
신목동,126.88308,37.544277
선유도,126.893525,37.53802
당산,126.902281,37.53438
국회의사당,126.917874,37.528105
여의도,126.924191,37.521624
샛강,126.928422,37.517274
노량진,126.942454,37.514219
노들,126.953222,37.512887
흑석(중앙대입구),126.963708,37.50877
동작,126.979306,37.502971
구반포,126.987332,37.501364
신반포,126.995925,37.503415
고속터미널,127.004943,37.50481
사평,127.015259,37.504206
신논현,127.02506,37.504598
언주,127.033868,37.507287
선정릉,127.043593,37.51098
삼성중앙,127.053282,37.513011
봉은사,127.060245,37.514219
